time,seconds_elapsed,z,y,x
1772896240070023400,0.0670234375,0.05710616335272789,0.002511094557121396,0.05392235517501831
1772896240079991000,0.076990966796875,0.05288718268275261,0.005614209920167923,-0.005688778590410948
1772896240089959200,0.086959228515625,0.032226644456386566,-0.0035361452028155327,-0.05434979125857353
1772896240099927300,0.09692724609375,0.0007962851668708026,-0.023487482219934464,-0.09525967389345169
1772896240109895200,0.106895263671875,-0.02821219712495804,-0.06262742727994919,-0.13530083000659943
1772896240119864300,0.1168642578125,-0.05062749236822128,-0.10989454388618469,-0.17250919342041016
1772896240129832200,0.126832275390625,-0.07059560716152191,-0.15099777281284332,-0.20094561576843262
1772896240139800300,0.13680029296875,-0.07973664253950119,-0.188999742269516,-0.2320588082075119
1772896240149768200,0.146768310546875,-0.09350491315126419,-0.2174292653799057,-0.2626446783542633
1772896240159736000,0.156736083984375,-0.09375498443841934,-0.2269953340291977,-0.28901928663253784
1772896240169705200,0.166705322265625,-0.09803255647420883,-0.21903647482395172,-0.3034949004650116
1772896240179673000,0.176673095703125,-0.08797220140695572,-0.2236698418855667,-0.31605038046836853
1772896240189641200,0.18664111328125,-0.08836421370506287,-0.20877531170845032,-0.30955785512924194
1772896240199609300,0.196609375,-0.08868779242038727,-0.1687069982290268,-0.2934052348136902
1772896240209577200,0.2065771484375,-0.09172353148460388,-0.15687057375907898,-0.2752739191055298
1772896240219546400,0.21654638671875,-0.10074285417795181,-0.158906027674675,-0.2523752450942993
1772896240229514200,0.22651416015625,-0.10820263624191284,-0.1673690229654312,-0.23684796690940857
1772896240239482000,0.236482177734375,-0.10370802134275436,-0.17214007675647736,-0.2370825856924057
1772896240249450200,0.2464501953125,-0.09578245133161545,-0.15424363315105438,-0.25862038135528564
1772896240259418400,0.25641845703125,-0.10433439165353775,-0.03970533609390259,-0.26302310824394226
1772896240269387300,0.26638720703125,-0.11090414971113205,0.02263074368238449,-0.2466561198234558
1772896240279355400,0.27635546875,-0.10765428841114044,0.07741409540176392,-0.22997860610485077
1772896240289323300,0.2863232421875,-0.1356784701347351,0.125355526804924,-0.1381315141916275
1772896240299291400,0.29629150390625,-0.24659672379493713,0.23432381451129913,-0.06471268087625504
1772896240309259500,0.306259521484375,-0.2636910378932953,0.2592070698738098,-0.004221110139042139
1772896240319228400,0.316228515625,-0.30314841866493225,0.2949719727039337,0.04047844931483269
1772896240329196500,0.326196533203125,-0.3498421609401703,0.3530091941356659,0.07858109474182129
1772896240339164200,0.3361640625,-0.36135685443878174,0.36990270018577576,0.10715095698833466
1772896240349132300,0.34613232421875,-0.33513033390045166,0.3629710078239441,0.10326939821243286
1772896240359100400,0.356100341796875,-0.2985645830631256,0.3918013274669647,0.032466862350702286
1772896240369069300,0.3660693359375,-0.2844410538673401,0.4607958495616913,-0.09265217185020447
1772896240379037400,0.376037353515625,-0.2974782884120941,0.5735684633255005,-0.21723298728466034
1772896240389005300,0.38600537109375,-0.3300471603870392,0.6868204474449158,-0.3369242250919342
1772896240398973200,0.39597314453125,-0.34339144825935364,0.8156149387359619,-0.44977515935897827
1772896240408941300,0.40594140625,-0.2968505918979645,0.9929995536804199,-0.4995128810405731
1772896240418910200,0.41591015625,-0.20623838901519775,1.1525367498397827,-0.4053373634815216
1772896240428878300,0.42587841796875,-0.15076740086078644,1.2399837970733643,-0.23205773532390594
1772896240438846500,0.435846435546875,-0.1358843296766281,1.251153826713562,-0.13807956874370575
1772896240448814300,0.445814453125,-0.1593044400215149,1.2379707098007202,-0.21402494609355927
1772896240458782500,0.455782470703125,-0.16956159472465515,1.2220633029937744,-0.43226778507232666
1772896240468751400,0.46575146484375,-0.08891575783491135,1.1110042333602905,-0.7368431091308594
1772896240478719200,0.47571923828125,0.05573996156454086,0.8168945908546448,-1.0412291288375854
1772896240488687400,0.485687255859375,0.18770305812358856,0.46173620223999023,-1.2752599716186523
1772896240498655200,0.4956552734375,0.29183849692344666,0.2754185199737549,-1.4147710800170898
1772896240508623400,0.505623291015625,0.35973232984542847,0.2817839980125427,-1.4587531089782715
1772896240518592300,0.51559228515625,0.4237422049045563,0.37597256898880005,-1.3906409740447998
1772896240528560400,0.525560302734375,0.5306282043457031,0.4404580891132355,-1.2096093893051147
1772896240538528500,0.535528564453125,0.6892958879470825,0.3116457760334015,-0.9500707387924194
1772896240548496100,0.54549609375,0.8503965735435486,-0.015791213139891624,-0.6865719556808472
1772896240558464300,0.55546435546875,0.9266101717948914,-0.4188036620616913,-0.500311017036438
1772896240568433400,0.565433349609375,0.8899086117744446,-0.8201268315315247,-0.4090527594089508
1772896240578401300,0.5754013671875,0.7945983409881592,-1.0905863046646118,-0.3252635896205902
1772896240588369400,0.585369384765625,0.6470373272895813,-1.1802687644958496,-0.21250960230827332
1772896240598337500,0.595337646484375,0.48568281531333923,-1.1180802583694458,-0.12462581694126129
1772896240608305400,0.605305419921875,0.46565452218055725,-1.0178053379058838,-0.05073801055550575
1772896240618273300,0.615273193359375,0.6342126131057739,-0.9985368251800537,0.11297129094600677
1772896240628242200,0.6252421875,0.8732143044471741,-0.9624142050743103,0.3644930124282837
1772896240638210300,0.635210205078125,1.051565408706665,-0.7305929660797119,0.6223897933959961
1772896240648178400,0.645178466796875,1.0927472114562988,-0.30195826292037964,0.8632380962371826
1772896240658146300,0.655146240234375,0.961460292339325,0.1587025672197342,1.0348026752471924
1772896240668114400,0.665114501953125,0.7199988961219788,0.41535484790802,1.0741961002349854
