time,seconds_elapsed,z,y,x
1772896112166272800,0.064272705078125,-1.0590972900390625,-0.0642547607421875,0.0595550537109375
1772896112176240600,0.07424072265625,-0.986541748046875,-0.091064453125,0.0589141845703125
1772896112186209800,0.084209716796875,-0.9524688720703125,-0.127197265625,0.0530853271484375
1772896112196177700,0.094177734375,-0.986968994140625,-0.1162872314453125,0.0547027587890625
1772896112206145800,0.104145751953125,-1.0250701904296875,-0.057373046875,0.07867431640625
1772896112216114700,0.11411474609375,-1.087371826171875,-0.0158843994140625,0.075408935546875
1772896112226082600,0.12408251953125,-1.1124114990234375,-0.0012359619140625,0.0373382568359375
1772896112236050700,0.13405078125,-1.0369873046875,-0.0405426025390625,0.036773681640625
1772896112246019600,0.14401953125,-0.9102783203125,-0.096527099609375,0.0092315673828125
1772896112255987700,0.15398779296875,-0.78521728515625,-0.1959686279296875,0.0151824951171875
1772896112265955600,0.16395556640625,-0.7281494140625,-0.2099151611328125,-0.004486083984375
1772896112275923700,0.173923828125,-0.843505859375,-0.13128662109375,-0.023193359375
1772896112285892600,0.183892578125,-1.00335693359375,-0.116607666015625,0.019134521484375
1772896112295860700,0.19386083984375,-1.0692291259765625,-0.09552001953125,-0.020111083984375
1772896112305830000,0.203829833984375,-1.0760345458984375,-0.066192626953125,-0.060089111328125
1772896112315797500,0.213797607421875,-1.05206298828125,-0.0919036865234375,-0.0789947509765625
1772896112325765600,0.223765625,-1.04730224609375,-0.059112548828125,-0.1722564697265625
1772896112335734500,0.233734619140625,-1.0666351318359375,0.0114898681640625,-0.2221527099609375
1772896112345702700,0.24370263671875,-0.980560302734375,0.0596771240234375,-0.3323211669921875
1772896112355670800,0.2536708984375,-0.8953857421875,0.0127105712890625,-0.4026031494140625
1772896112365638700,0.263638671875,-0.7716217041015625,-0.1153106689453125,-0.51153564453125
1772896112375607800,0.27360791015625,-0.628387451171875,-0.2783050537109375,-0.570159912109375
1772896112385575700,0.28357568359375,-0.5305023193359375,-0.3834381103515625,-0.5155487060546875
1772896112395543600,0.29354345703125,-0.4461212158203125,-0.4321441650390625,-0.4390716552734375
1772896112405512400,0.303512451171875,-0.39678955078125,-0.4011688232421875,-0.335357666015625
1772896112415480600,0.31348046875,-0.5290679931640625,-0.3483123779296875,-0.1770782470703125
1772896112425448700,0.32344873046875,-0.8537750244140625,-0.8758697509765625,1.7728424072265625
1772896112435417600,0.33341748046875,-1.0319366455078125,-1.2130126953125,1.863555908203125
1772896112445385700,0.3433857421875,-0.7137908935546875,-0.7495880126953125,0.16900634765625
1772896112455353900,0.353353759765625,-0.748626708984375,-0.1217041015625,-0.70684814453125
1772896112465322800,0.36332275390625,-0.805999755859375,-0.2086334228515625,-0.084136962890625
1772896112475291000,0.373290771484375,-0.824737548828125,-0.2429962158203125,0.007080078125
1772896112485258500,0.383258544921875,-0.906829833984375,-0.1549530029296875,-0.210601806640625
1772896112495227600,0.3932275390625,-1.079376220703125,-0.235137939453125,-0.14361572265625
1772896112505195500,0.403195556640625,-1.209503173828125,-0.315948486328125,-0.0788421630859375
1772896112515163600,0.41316357421875,-1.2292633056640625,-0.3124237060546875,-0.12939453125
1772896112525132500,0.423132568359375,-1.165283203125,-0.244171142578125,-0.21124267578125
1772896112535100700,0.4331005859375,-1.0897064208984375,-0.1841888427734375,-0.1336822509765625
1772896112545068800,0.44306884765625,-0.971099853515625,-0.1835174560546875,0.0174713134765625
1772896112555037700,0.45303759765625,-0.9188079833984375,-0.122344970703125,0.0226898193359375
1772896112565005800,0.463005859375,-0.9297332763671875,-0.1079864501953125,0.0563812255859375
1772896112574973700,0.4729736328125,-0.9849700927734375,-0.137725830078125,0.1025848388671875
1772896112584942600,0.482942626953125,-1.3442230224609375,-0.1473541259765625,0.0070648193359375
1772896112594910700,0.49291064453125,-1.5108184814453125,-0.214202880859375,-0.0245819091796875
1772896112604878600,0.502878662109375,-1.067138671875,-0.22515869140625,-0.0660247802734375
1772896112614847700,0.51284765625,-1.0906982421875,-0.202362060546875,0.0205230712890625
1772896112624815600,0.522815673828125,-1.0425567626953125,-0.1754608154296875,0.0355682373046875
1772896112634783700,0.53278369140625,-0.865386962890625,-0.157958984375,-0.099029541015625
1772896112644752600,0.542752685546875,-0.773040771484375,-0.224273681640625,-0.112335205078125
1772896112654720800,0.552720703125,-0.8741455078125,-0.312164306640625,-0.110626220703125
1772896112664688600,0.562688720703125,-0.982513427734375,-0.3501434326171875,-0.109954833984375
1772896112674657500,0.572657470703125,-0.993988037109375,-0.35028076171875,-0.135223388671875
1772896112684625700,0.582625732421875,-0.8978118896484375,-0.3595733642578125,-0.249908447265625
1772896112694593800,0.59259375,-0.9384002685546875,-0.286529541015625,-0.210968017578125
1772896112704562700,0.602562744140625,-1.1686859130859375,-0.0917510986328125,-0.113433837890625
1772896112714530800,0.61253076171875,-1.3329925537109375,-0.0572509765625,-0.1807708740234375
1772896112724498700,0.622498779296875,-1.3924102783203125,-0.1577301025390625,-0.1602325439453125
1772896112734467800,0.6324677734375,-1.4722442626953125,-0.148162841796875,-0.0818023681640625
1772896112744435700,0.642435791015625,-1.4595794677734375,-0.128387451171875,-0.039794921875
1772896112754403600,0.652403564453125,-1.30828857421875,-0.036224365234375,-0.0103912353515625
1772896112764372500,0.66237255859375,-1.17181396484375,-0.02099609375,0.0182037353515625
1772896112774340600,0.672340576171875,-1.0980224609375,-0.0738525390625,0.0546722412109375
1772896112784308700,0.682308837890625,-1.10784912109375,-0.0913543701171875,0.1133880615234375
1772896112794277600,0.692277587890625,-1.110137939453125,-0.0782623291015625,0.1121368408203125
1772896112804245800,0.702245849609375,-1.1470794677734375,-0.1064605712890625,0.058135986328125
1772896112814213600,0.712213623046875,-1.181640625,-0.14910888671875,0.01959228515625
1772896112824182800,0.722182861328125,-1.162506103515625,-0.1301422119140625,-0.0001220703125
1772896112834150700,0.732150634765625,-1.1582794189453125,-0.0930328369140625,0.042327880859375
1772896112844118500,0.742118408203125,-1.14404296875,-0.0841064453125,0.091796875
1772896112854087700,0.752087646484375,-1.1144256591796875,-0.068328857421875,0.1281280517578125
1772896112864055600,0.7620556640625,-1.0574951171875,-0.0262603759765625,0.1356658935546875
1772896112874023700,0.772023681640625,-0.998626708984375,-0.0063629150390625,0.11956787109375
1772896112883992600,0.78199267578125,-0.953643798828125,-0.0130462646484375,0.1278076171875
1772896112893960700,0.791960693359375,-0.9367828369140625,-0.02899169921875,0.1455078125
1772896112903928800,0.8019287109375,-0.9506378173828125,-0.0513916015625,0.1249847412109375
1772896112913897700,0.811897705078125,-0.98101806640625,-0.0736846923828125,0.090576171875
1772896112923865600,0.821865478515625,-0.9886016845703125,-0.0849609375,0.05572509765625
1772896112933833500,0.83183349609375,-1.00909423828125,-0.0743255615234375,0.0276947021484375
1772896112943802600,0.841802734375,-1.029815673828125,-0.05487060546875,0.0137786865234375
1772896112953770800,0.851770751953125,-1.0229644775390625,-0.041107177734375,0.018951416015625
1772896112963738600,0.861738525390625,-0.9893798828125,-0.0226898193359375,0.005828857421875
1772896112973707800,0.871707763671875,-1.1341094970703125,-0.03289794921875,-0.1873626708984375
1772896112983675600,0.881675537109375,-1.2188262939453125,-0.131683349609375,-0.2326202392578125
1772896112993643800,0.891643798828125,-1.1150665283203125,-0.089111328125,-0.204193115234375
1772896113003612700,0.90161279296875,-1.0291748046875,-0.287506103515625,-0.369476318359375
1772896113013580500,0.91158056640625,-0.8477783203125,-0.152069091796875,0.0330810546875
1772896113023548700,0.921548583984375,-0.859619140625,0.000091552734375,-0.3172149658203125
1772896113033517600,0.931517578125,-0.9309539794921875,-0.0130767822265625,-0.25091552734375
1772896113043485700,0.941485595703125,-1.0240325927734375,-0.0713958740234375,0.0457916259765625
1772896113053453600,0.95145361328125,-1.0834503173828125,0.0225830078125,0.097625732421875
1772896113063422700,0.961422607421875,-1.040008544921875,0.0708160400390625,0.076446533203125
1772896113073390800,0.971390869140625,-0.96258544921875,0.0406494140625,0.0712890625
1772896113083358700,0.981358642578125,-0.8618316650390625,0.0035247802734375,0.069427490234375
1772896113093328000,0.991327880859375,-0.810516357421875,-0.0196685791015625,0.044921875
1772896113103295500,1.00129541015625,-0.8126983642578125,-0.0261993408203125,0.02862548828125
1772896113113263600,1.011263671875,-0.8091888427734375,-0.0303802490234375,0.030303955078125
1772896113123232500,1.021232421875,-0.8050079345703125,-0.0339813232421875,0.01995849609375
1772896113133200600,1.03120068359375,-0.8107452392578125,-0.0471038818359375,0.013763427734375
1772896113143168800,1.041168701171875,-0.837158203125,-0.0649261474609375,-0.0042266845703125
1772896113153137700,1.0511376953125,-0.8589324951171875,-0.0751495361328125,-0.015960693359375
1772896113163105800,1.061105712890625,-0.85870361328125,-0.083343505859375,-0.0191802978515625
1772896113173073400,1.071073486328125,-0.857025146484375,-0.1007537841796875,-0.022430419921875
1772896113183042600,1.08104248046875,-0.8597869873046875,-0.12200927734375,-0.024200439453125
1772896113193010700,1.0910107421875,-0.866912841796875,-0.1301116943359375,-0.022064208984375
1772896113202978600,1.100978515625,-0.895477294921875,-0.127838134765625,-0.018096923828125
1772896113212947700,1.11094775390625,-0.934112548828125,-0.1419525146484375,-0.0174713134765625
1772896113222915300,1.120915283203125,-0.9661865234375,-0.1553192138671875,-0.020355224609375
1772896113232883500,1.130883544921875,-0.9947662353515625,-0.14642333984375,-0.02447509765625
1772896113242852400,1.140852294921875,-0.989013671875,-0.12713623046875,-0.0121307373046875
1772896113252820500,1.150820556640625,-0.9552764892578125,-0.1364898681640625,-0.0005950927734375
1772896113262788600,1.16078857421875,-1.0072479248046875,-0.1376495361328125,0.0029449462890625
1772896113272757500,1.170757568359375,-1.001739501953125,-0.133331298828125,0.0055389404296875
1772896113282725600,1.1807255859375,-1.021881103515625,-0.132965087890625,-0.0001068115234375
1772896113292693500,1.190693603515625,-1.0543365478515625,-0.151275634765625,-0.0233917236328125
1772896113302662700,1.20066259765625,-1.07861328125,-0.1505126953125,-0.035675048828125
1772896113312630500,1.210630615234375,-1.0850372314453125,-0.152099609375,-0.016448974609375
1772896113322598400,1.220598388671875,-1.0775604248046875,-0.1515960693359375,0.012054443359375
1772896113332567600,1.230567626953125,-1.0494232177734375,-0.1283416748046875,0.0351104736328125
1772896113342535400,1.240535400390625,-1.0258026123046875,-0.1098785400390625,0.0599517822265625
1772896113352503600,1.250503662109375,-1.0150909423828125,-0.109100341796875,0.070953369140625
1772896113362472400,1.260472412109375,-1.0172882080078125,-0.119781494140625,0.0670623779296875
1772896113372440600,1.270440673828125,-1.02685546875,-0.1266937255859375,0.0582427978515625
1772896113382408700,1.28040869140625,-1.0135955810546875,-0.13958740234375,0.04034423828125
1772896113392377600,1.290377685546875,-1.0037384033203125,-0.14990234375,0.0299224853515625
